object_class,AdapterIntfType,AdapterName,Alias,AttrPos,AttrType,BusinessName,Cardinality,CompSubType,CompTypeVersion,CpOrder,CpPos,DataTypeName,Descript,Description,Direction,DispNameKey,ExecOnHint,ExpTxtNb,ExtDtQualName,ExtVersion,FcoGuid,FcoQualifiedName,FcoQualifiedName2,FcoQualifiedName3,FirstDate,FirstUser,GlobalId,GrpFunc,HasUnparsedIdent,IContextMapRef,IDataMapRef,IDeploySpec,IDisTechRef,IEndMapCp,IExOnLsRef,IExecUnit,IFcoId,IFolder,IMapAttr,IMapComp,IMapCompType,IMapConn,IMapCp,IMapCpRole,IMapExpr,IMapExprRef,IMapProp,IMapPropParent,IMapRef,IMapping,IOwnerMapAttr,IOwnerMapComp,IOwnerMapCp,IOwnerMapExpr,IOwnerMapProp,IOwnerMapping,IParMapAttr,IParMapCp,IPhyNode,IProject,IPropDef,IPropXrefValue,IRefId,IRefMapAttr,IRefMapComp,IRefMapRef,IScBaseMapping,IScId,IScMapping,IScOrigMapping,IScopingMapCp,IStartMapCp,ITechno,IndChange,InstObjNb,IntDtQualName,IntVersion,IsActive,IsCardinal,IsDerivedName,IsHidden,IsParsed,IsRequired,IsReusable,IsValid,JoinColNb,JoinNb,KeyColNb,KeyNb,LastDate,LastUser,Length,LinkDiagNb,MetadataVersion,MorigTxtNb,MtxtNb,Name,OdiVersion,OrigTxtNb,OriginRepositoryID,OtherObjectsNb,ParsedText,ParsedTxt,PlanAgentNb,Prec,PropDefGuid,PropDefQualifiedName,PropOrder,PropType,PropValue,PropValues,QualifiedName,QualifiedName2,QualifiedName3,RefCount,RefGuid,RefKey,RefObjFQName,RefObjFQNameLengths,RefObjFQType,RefObjGlobalId,RefText,RepositoryVersion,ScGuid,ScOrigMappingTag,Scale,ScenTxtNb,SortPos,SourceDt,StepNb,Text,TextHash,TextOnly,Txt,TxtNb,TypeName,UeOrigNb,UeUsedNb,ValidationCode,VarPlanAgentNb
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPPROP.2375560,CW_PRJ_EDW_PILOT.Test.Test_3.FILTER_CONDITION,16.4.6.16,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPPROP,54267f2e-e37d-4638-bea3-f7eb8870796c,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_COL.169333,Copy of EDW_SEM.Global.D_PMT_METH_TYPE.Pmt_Meth_Type_Desc,15.6.15.18,SNP_MODEL.SNP_SUBMODEL.SNP_TABLE.SNP_COL,883984c7-e06a-4291-908e-f38d3e7f4151,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPREF.1828822,null,null,null,59927b2e-23ee-42e3-a68b-947bac73df1d,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPATTR.1403553,CW_PRJ_EDW_PILOT.Test.Test_3.D_PMT_METH_TYPE.OUTPUT1.Pmt_Meth_Type_Desc,16.4.6.15.7.18,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP.SNP_MAPATTR,c189c8b6-024d-46e8-b54f-325abf23206e,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_COL.180830,Copy of EDW_VODACOM.Global.PMT_METH_TYPE.Pmt_Meth_Type_Desc,19.6.13.18,SNP_MODEL.SNP_SUBMODEL.SNP_TABLE.SNP_COL,c5f882e6-89c1-4da7-af41-396945c12cfc,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPREF.1828821,null,null,null,85ea0615-1c9a-47ed-b86b-71b48cfca05d,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPEXPR.982209,null,null,null,d64f10b7-f858-4259-b913-60883bc1ae66,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPATTR.1403549,CW_PRJ_EDW_PILOT.Test.Test_3.PMT_METH_TYPE.OUTPUT1.Pmt_Meth_Type_Desc,16.4.6.13.7.18,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP.SNP_MAPATTR,3cc32c59-8124-4e4a-ae5f-b44af45ff3c1,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_COL.169331,Copy of EDW_SEM.Global.D_PMT_METH_TYPE.Pmt_Meth_Type_Cd,15.6.15.16,SNP_MODEL.SNP_SUBMODEL.SNP_TABLE.SNP_COL,a1c68c79-4004-4777-93a9-03a03693afb7,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPREF.1828817,null,null,null,7c5d826e-44a7-4cfa-96a7-b48f1d699aa9,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPREF.1828816,null,null,null,5e33b58d-698f-47ab-afb3-a66428587329,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPATTR.1403551,CW_PRJ_EDW_PILOT.Test.Test_3.D_PMT_METH_TYPE.OUTPUT1.Pmt_Meth_Type_Cd,16.4.6.15.7.16,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP.SNP_MAPATTR,8af72fef-4994-4f75-a2ae-d96aca6ce673,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_COL.180828,Copy of EDW_VODACOM.Global.PMT_METH_TYPE.Pmt_Meth_Type_Cd,19.6.13.16,SNP_MODEL.SNP_SUBMODEL.SNP_TABLE.SNP_COL,76e332bd-0772-4007-b269-53e01d97f9c3,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPREF.1828815,null,null,null,e7b08aef-3146-4e46-b482-1abd14ff00ca,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPEXPR.982207,null,null,null,8f6191de-f677-45ab-98b0-e1b8386b7bcb,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPATTR.1403547,CW_PRJ_EDW_PILOT.Test.Test_3.PMT_METH_TYPE.OUTPUT1.Pmt_Meth_Type_Cd,16.4.6.13.7.16,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP.SNP_MAPATTR,7984d970-dcd7-4bfb-8970-b5975dbd8b29,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_DT.678,Teradata.VARCHAR,8.7,SNP_TECHNO.SNP_DT,ce91f01b-1028-3055-a164-aebdcf008277,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_DT.677,Teradata.CHAR,8.4,SNP_TECHNO.SNP_DT,b428d44f-8fd1-3aa9-93b4-686dd936032b,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPCPROLE.4,FILTER.OUTPUT,6.6,SNP_MAPCOMPTYPE.SNP_MAPCPROLE,dfedb55a-d7d3-4b46-afdf-efa024d866cd,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPCP.404957,CW_PRJ_EDW_PILOT.Test.Test_3.FILTER.OUTPUT1,16.4.6.6.7,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP,2728cbab-cdb7-447d-8bc5-475f38718292,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPPROPDEF.19,DATASTORE.CHECK_NOT_NULL_INDICATOR,9.24,SNP_MAPCOMPTYPE.SNP_MAPPROPDEF,98fa7545-cdff-44fd-99a7-b5ef26f70b58,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPPROPDEF.191,XMLDiagramSettings,18,SNP_MAPPROPDEF,73fada02-4b4a-41b7-82a7-015a3bd763d9,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPPROP.2375555,CW_PRJ_EDW_PILOT.Test.Test_3.XMLDiagramSettings,16.4.6.18,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPPROP,429c74d6-6b8e-40c3-96df-0ec9c46488bd,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPPROPDEF.194,TARGET_LOAD_ORDER,17,SNP_MAPPROPDEF,9404d502-7340-4269-be5f-b175f57f0268,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPPROP.2375554,CW_PRJ_EDW_PILOT.Test.Test_3.TARGET_LOAD_ORDER,16.4.6.17,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPPROP,1bef6e64-cbe8-40e5-bdcf-b4c85d77b7cb,,,,,,,,,,,,,,,,,,,
DwgExportSummary,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,,,,0,,0,0,,12.2.1,0,1,76,,,0,,,,,,,,,,,,,,,,,,,05.02.02.09,,,,0,,,0,,,,,0,,0,0,,0
